ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_ID,Part_Of_Speech,Original_Translation,Text_ID,Sentence_Number,Phrase_Number,Speaker_ID
histanfo-1,yab,wïrë tawara rë entë,wïrë	tawara	rë	entë,1PRO	too	EMP	here.LOC,I was here (in San Juan Manapiare).,,,histanfo-1,?	?	?	?,yo estaba aquí (en San Juan Manapiare),histanfo,1,,anfo
histanfo-2,yab,"ana këyetajpë, intipijkë ana chi yawë",ana	këyeta-jpë	intipijkë	ana	chi-∅	yawë,1+3PRO	grow-PST	small	1+3PRO	COP-ACNNMLZ	LOC,We grew up when we were little kids,,,histanfo-2,?	?	?	?	?	?,nos criamos cuando estábamos chiquiticos nosotros,histanfo,2,,anfo
histanfo-3,yab,ana yïmï sëmajpë pe,ana	y-ïmï	sëma-jpë	pe,1+3PRO	LK-father	die-PST.ACNNMLZ	ESS,when our father died.,,,histanfo-3,?	?	?	?,cuando se murió mi papá,histanfo,3,,anfo
histanfo-4,yab,"ana këyetase papa kampra ya, ana yoti wejsapë yojtë ta sukase aroma warai, yakuri warai yojtë wejsaj ta",ana	këyeta-se	papa	kampra	ya	ana	y-oti-∅	wej-sapë	yojtë-∅	ta	sukase	aroma	warai	yakuri	warai	yojtë-∅	wej-saj	ta,1+3PRO	grow-PST	father	big	ERG	1+3PRO	LK-meat-PERT	COP-PFV	fish_with_hook-IPFV	like	all	limpet	like	agouti	like	fish_with_hook-IPFV	COP-PFV	like,"(When) we grew up, my uncle fished our food; fished everything: limpet, picure...",,"aroma and yakuri with warai, what's the object?",histanfo-4,?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?,"nosotros crecimos, mi tio pescaba toda nuestra comida, lapa, picure",histanfo,4,,anfo
histanfo-5,yab,"papa kampra ya, makampra ya ta wejsaj ta, maijtë kaimotata, mukuton yomiri",papa	kampra	ya	makampra	ya	ta-∅	wej-saj	ta	maijtë	kaimota-ta	muku-ton	yomi-ri,father	big	OBL	aunt	ERG	say-IPFV	COP-PFV	like	go.IMP	hunt-MOTIMP	child-PL	be_hungry-IPFV,"My aunt said to my uncle: “go hunt, the children are hungry”.",,"non-ERG ya is prosodically marked. How does ""maijtë kaimotata"" fit together?",histanfo-5,?	?	?	?	?	?	?	?	?	?	?	?,"mi tía estaba diciendo para mi tío ""vaya a cazar que los niños tienen hambre""",histanfo,5,,anfo
histanfo-6,yab,"asamori ta wejsaj ta, irë makë ta wejsapë",asamo-ri	ta-∅	wej-saj	ta	irë	makë	ta-∅	wej-sapë,cry-IPFV	say-IPFV	COP-PFV	like	3ANA.INAN	mom	say-IPFV	COP-PFV,"My aunt said ""they are crying"".",,,histanfo-6,?	?	?	?	?	?	?	?,"mi  tía dijo ""están llorando""",histanfo,6,,anfo
histanfo-7,yab,"pachi, kërë takï yëmi pïnirë",pachi	kërë	takï	yëmi-∅	pïnirë,older_sister_of_woman	PROX.ANIM	CNFRM	be_hungry-ACNNMLZ	NEG,"""sister, that one is not hungry"".",,NVP with nominalized verb. Unclear who kërë refers to.,histanfo-7,?	?	?	?	?,"dijo ""hermana, ese no tiene hambre""",histanfo,7,,anfo
histanfo-8,yab,asamorijra asamori muku,asamo-ri=jra	asamo-ri	muku,cry-IPFV=NEG	cry-IPFV	child,?,,"rijra-ri construction, prosodically integrated",histanfo-8,?	?	?,por llorar no más lloran los niños,histanfo,8,,anfo
histanfo-9,yab,"tejetum pïnika, ta wejsaj ta makë ya, makë pano ya",tejetum	pïnika	ta-∅	wej-saj	ta-∅	makë	ya	makë	pano	ya,sick	PROB	say-IPFV	COP-PFV	say-IPFV	mom	ERG	mom	FMR	ERG,"""That one is probably sick"", said my mother, my late mother.",,What is the extent of quoted speech here? Unclear who is sick.,histanfo-9,?	?	?	?	?	?	?	?	?	?,"mi mamá decía ""no ese está enfermo será",histanfo,9,,anfo
histanfo-10,yab,"sukase ta wejsaj ta, irëjpë papa kampra ijtëri",sukase	ta-∅	wej-saj	ta	irëjpë	papa	kampra	ij-të-ri,all	say-IPFV	COP-PFV	like	then	father	big	3-go-IPFV,"She said that, then my uncle left",,tï before first ta?,histanfo-10,?	?	?	?	?	?	?	?,"todo decía, después se iba mi tío",histanfo,10,,anfo
