ID,Form_ID,Wordform_ID,Index
mere-ini-ri-2pro-see-ipfv-0,mere-ini-ri-2pro-see-ipfv,mere-2pro,0
mere-ini-ri-2pro-see-ipfv-1,mere-ini-ri-2pro-see-ipfv,iniri-see-ipfv,1
ejne-yaruwa-ja-1-2pro-laugh-neg-0,ejne-yaruwa-ja-1-2pro-laugh-neg,ejne-1-2pro,0
ejne-yaruwa-ja-1-2pro-laugh-neg-1,ejne-yaruwa-ja-1-2pro-laugh-neg,yaruwaja-laugh-neg,1
wire-yaruwa-ri-jra-1pro-laugh-ipfv-neg-0,wire-yaruwa-ri-jra-1pro-laugh-ipfv-neg,wire-1pro,0
wire-yaruwa-ri-jra-1pro-laugh-ipfv-neg-1,wire-yaruwa-ri-jra-1pro-laugh-ipfv-neg,yaruwarijra-laugh-ipfv-neg,1
ejne-yaruwa-ri-1-2pro-laugh-ipfv-0,ejne-yaruwa-ri-1-2pro-laugh-ipfv,ejne-1-2pro,0
ejne-yaruwa-ri-1-2pro-laugh-ipfv-1,ejne-yaruwa-ri-1-2pro-laugh-ipfv,yaruwari-laugh-ipfv,1
mokontomo-sereka-po-jra-2pl-pro-become-tired-des-ipfv-neg-0,mokontomo-sereka-po-jra-2pl-pro-become-tired-des-ipfv-neg,mokontomo-2pl-pro,0
mokontomo-sereka-po-jra-2pl-pro-become-tired-des-ipfv-neg-1,mokontomo-sereka-po-jra-2pl-pro-become-tired-des-ipfv-neg,serekapojra-become-tired-des-ipfv-neg,1
mokontomo-yaruwa-ri-2pl-pro-laugh-ipfv-0,mokontomo-yaruwa-ri-2pl-pro-laugh-ipfv,mokontomo-2pl-pro,0
mokontomo-yaruwa-ri-2pl-pro-laugh-ipfv-1,mokontomo-yaruwa-ri-2pl-pro-laugh-ipfv,yaruwari-laugh-ipfv,1
wire-ta-1pro-say-ipfv-0,wire-ta-1pro-say-ipfv,wire-1pro,0
wire-ta-1pro-say-ipfv-1,wire-ta-1pro-say-ipfv,ta-say-ipfv,1
ta-jne-i-ri-3-pl-put-ipfv-0,ta-jne-i-ri-3-pl-put-ipfv,tajne-3-pl,0
ta-jne-i-ri-3-pl-put-ipfv-1,ta-jne-i-ri-3-pl-put-ipfv,iri-put-ipfv,1
ta-jne-yarika-ri-3-pl-laugh-ipfv-0,ta-jne-yarika-ri-3-pl-laugh-ipfv,tajne-3-pl,0
ta-jne-yarika-ri-3-pl-laugh-ipfv-1,ta-jne-yarika-ri-3-pl-laugh-ipfv,yarikari-laugh-ipfv,1
ejne-yarika-ja-1-2pro-laugh-neg-0,ejne-yarika-ja-1-2pro-laugh-neg,ejne-1-2pro,0
ejne-yarika-ja-1-2pro-laugh-neg-1,ejne-yarika-ja-1-2pro-laugh-neg,yarikaja-laugh-neg,1
wire-taro-1pro-say-ipfv-0,wire-taro-1pro-say-ipfv,wire-1pro,0
wire-taro-1pro-say-ipfv-1,wire-taro-1pro-say-ipfv,taro-say-ipfv,1
wire-senejka-ri-1pro-stay-ipfv-0,wire-senejka-ri-1pro-stay-ipfv,wire-1pro,0
wire-senejka-ri-1pro-stay-ipfv-1,wire-senejka-ri-1pro-stay-ipfv,senejkari-stay-ipfv,1
wire-ita-ri-1pro-hear-ipfv-0,wire-ita-ri-1pro-hear-ipfv,wire-1pro,0
wire-ita-ri-1pro-hear-ipfv-1,wire-ita-ri-1pro-hear-ipfv,itari-hear-ipfv,1
wire-wajyakiti-jra-1pro-be-happy-ipfv-neg-0,wire-wajyakiti-jra-1pro-be-happy-ipfv-neg,wire-1pro,0
wire-wajyakiti-jra-1pro-be-happy-ipfv-neg-1,wire-wajyakiti-jra-1pro-be-happy-ipfv-neg,wajyakitijra-be-happy-ipfv-neg,1
wire-ini-ja-1pro-see-neg-0,wire-ini-ja-1pro-see-neg,wire-1pro,0
wire-ini-ja-1pro-see-neg-1,wire-ini-ja-1pro-see-neg,inija-see-neg,1
mokontomo-wajyakiti-2pl-pro-be-happy-ipfv-0,mokontomo-wajyakiti-2pl-pro-be-happy-ipfv,mokontomo-2pl-pro,0
mokontomo-wajyakiti-2pl-pro-be-happy-ipfv-1,mokontomo-wajyakiti-2pl-pro-be-happy-ipfv,wajyakiti-be-happy-ipfv,1
wire-peremeki-ri-1pro-talk-ipfv-0,wire-peremeki-ri-1pro-talk-ipfv,wire-1pro,0
wire-peremeki-ri-1pro-talk-ipfv-1,wire-peremeki-ri-1pro-talk-ipfv,peremekiri-talk-ipfv,1
