ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
atiri-plot-of-cultivated-land-pert-1-pert,ati-plot-of-cultivated-land,pert,atiri-plot-of-cultivated-land-pert-1,
atirijpe-plot-of-cultivated-land-pert-pst-1-pert,ati-plot-of-cultivated-land,pert,atirijpe-plot-of-cultivated-land-pert-pst-1,
atirijpe-plot-of-cultivated-land-pert-pst-2-pst,ati-plot-of-cultivated-land,pst,atirijpe-plot-of-cultivated-land-pert-pst-2,
ayawori-2-lk-uncle-pert-0-2,awo-uncle,2,ayawori-2-lk-uncle-pert-0,
ayawori-2-lk-uncle-pert-3-pert,awo-uncle,pert,ayawori-2-lk-uncle-pert-3,
chijchipuru-body-movement-pert-1-pert,chijchipu-body-movement,pert,chijchipuru-body-movement-pert-1,
ijtari-3-foot-pert-0-3,jta-foot,3,ijtari-3-foot-pert-0,
ijtari-3-foot-pert-2-pert,jta-foot,pert,ijtari-3-foot-pert-2,
ntate-mouth-npert-1-npert,nta-mouth,npert,ntate-mouth-npert-1,
saparari-heavy-pot-pert-1-pert,sapara-heavy-pot,pert,saparari-heavy-pot-pert-1,
takunuru-laziness-pert-1-pert,takunu-laziness,pert,takunuru-laziness-pert-1,
tawori-3-uncle-pert-0-3,awo-uncle,3,tawori-3-uncle-pert-0,
tawori-3-uncle-pert-2-pert,awo-uncle,pert,tawori-3-uncle-pert-2,
tejweti-3-hammock-pert-0-3,ejwe-hammock,3,tejweti-3-hammock-pert-0,
tejweti-3-hammock-pert-2-pert,ejwe-hammock,pert,tejweti-3-hammock-pert-2,
tepese-3-escape-pst-0-3,epe-escape,3,tepese-3-escape-pst-0,
tepese-3-escape-pst-2-pst,epe-escape,pst,tepese-3-escape-pst-2,
terepunu-3-sick-pert-0-3,erepunu-sick,3,terepunu-3-sick-pert-0,
terepunu-3-sick-pert-2-pert,erepunu-sick,pert,terepunu-3-sick-pert-2,
toti-3-meat-pert-0-3,oti-meat,3,toti-3-meat-pert-0,
toti-3-meat-pert-2-pert,oti-meat,pert,toti-3-meat-pert-2,
weseyuru-be-brave-ipfv-1-ipfv,weseyu-be-brave,ipfv,weseyuru-be-brave-ipfv-1,
ejte-house-npert-1-npert,ej-house,npert,ejte-house-npert-1,
iniri-see-ipfv-1-ipfv,ini-see,ipfv,iniri-see-ipfv-1,
meyarika-2-laugh-ipfv-0-2,yarika-laugh,2,meyarika-2-laugh-ipfv-0,
meyarika-2-laugh-ipfv-2-ipfv,yarika-laugh,ipfv,meyarika-2-laugh-ipfv-2,
meyaruwari-2-laugh-ipfv-0-2,yaruwa-laugh,2,meyaruwari-2-laugh-ipfv-0,
meyaruwari-2-laugh-ipfv-2-ipfv,yaruwa-laugh,ipfv,meyaruwari-2-laugh-ipfv-2,
mepekepene-2-alone-0-2,pekepene-alone,2,mepekepene-2-alone-0,
yaruwaja-laugh-neg-1-neg,yaruwa-laugh,neg,yaruwaja-laugh-neg-1,
yaruwari-laugh-ipfv-1-ipfv,yaruwa-laugh,ipfv,yaruwari-laugh-ipfv-1,
esene-see-self-ipfv-1-ipfv,esene-see-self,ipfv,esene-see-self-ipfv-1,
serekapo-become-tired-des-ipfv-2-ipfv,serekapo-become-tired-des,ipfv,serekapo-become-tired-des-ipfv-2,
taro-say-ipfv-1-ipfv,taro-say,ipfv,taro-say-ipfv-1,
ta-say-ipfv-1-ipfv,ta-say,ipfv,ta-say-ipfv-1,
iri-put-ipfv-1-ipfv,i-put,ipfv,iri-put-ipfv-1,
yarikari-laugh-ipfv-1-ipfv,yarika-laugh,ipfv,yarikari-laugh-ipfv-1,
