ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source
achi-wilderness,yab,achi,,wilderness,achi,a t͡ʃ i,,
aijkorono-recovered,yab,aijkorono,,recovered,aijkorono,a i h k o r o n o,,
ajpachi-undergrowth,yab,ajpachi,,undergrowth,ajpachi,a h p a t͡ʃ i,,
aki-worm,yab,akï,,worm; maggot,akï,a k ɨ,,
amu-ripeness,yab,amu,,ripeness,amu,a m u,,
ami-unidentified-plant,yab,amï,,unidentified_plant,amï,a m ɨ,,
ana-1-3pro,yab,ana,,1+3PRO,ana,a n a,,
anoto-annatto,yab,anoto,,annatto,anoto,a n o t o,,
anta-island,yab,anta,,island,anta,a n t a,,
ante-fish-hook,yab,antë,,fish_hook,antë,a n t ə,,
api-ripeness,yab,api,,ripeness,api,a p i,,
apo-later,yab,apo,,later; meanwhile,apo,a p o,,
apuni-soap,yab,apuni,,soap,apuni,a p u n i,,
arajmate-dangerous,yab,arajmatë,,dangerous,arajmatë,a r a h m a t ə,,
arina-trembler,yab,arina,,trembler,arina,a r i n a,,
aro-rice,yab,aro,,rice,aro,a r o,,
aroma-limpet,yab,aroma,,limpet,aroma,a r o m a,,
aropoko-ball-game,yab,aropoko,,ball_game,aropoko,a r o p o k o,,
asakontompene-four,yab,asakontompene,,four,asakontompene,a s a k o n t o m p e n e,,
asake-two,yab,asakë,,two,asakë,a s a k ə,,
asere-dry-cough,yab,asere,,dry_cough,asere,a s e r e,,
asuka-sugar,yab,asuka,,sugar,asuka,a s u k a,,
ati-plot-of-cultivated-land,yab,ati,,plot_of_cultivated_land,ati,a t i,,
ati-plot-of-cultivated-land-1,yab,atï,,plot_of_cultivated_land,atï,a t ɨ,,
awochi-tumor,yab,awochi,,tumor,awochi,a w o t͡ʃ i,,
chijchipu-body-movement,yab,chijchipu,,body_movement,chijchipu,t͡ʃ i h t͡ʃ i p u,,
chika-bite,yab,chika,,bite,chika,t͡ʃ i k a,,
chike-chigger,yab,chikë,,chigger,chikë,t͡ʃ i k ə,,
chima-path,yab,chima,,path,chima,t͡ʃ i m a,,
chimichimi-worm-dog,yab,chimichimi,,worm(dog),chimichimi,t͡ʃ i m i t͡ʃ i m i,,
chipiyu-fungus-sp,yab,chipiyu,,fungus.sp,chipiyu,t͡ʃ i p i j u,,
chiramu-mange,yab,chiramu,,mange,chiramu,t͡ʃ i r a m u,,
chirike-star,yab,chirikë,,star,chirikë,t͡ʃ i r i k ə,,
chiri-titi-monkey,yab,chiri,,titi_monkey,chiri,t͡ʃ i r i,,
chiri-wild-pineapple,yab,chiri,,wild_pineapple,chiri,t͡ʃ i r i,,
chiyakono-friend,yab,chiyakono,,friend,chiyakono,t͡ʃ i j a k o n o,,
chiyakon-friend,yab,chiyakon,,friend,chiyakon,t͡ʃ i j a k o n,,
chiyakom-friend,yab,chiyakom,,friend,chiyakom,t͡ʃ i j a k o m,,
chekey-nit,yab,chëkëy,,nit,chëkëy,t͡ʃ ə k ə j,,
ejne-1-2pro,yab,ejnë,,1+2PRO,ejnë,e h n ə,,
enijpete-one,yab,enijpëtë,,one,enijpëtë,e n i h p ə t ə,,
enire-now,yab,enirë,,now; today,enirë,e n i r ə,,
eniro-now,yab,eniro,,now; today,eniro,e n i r o,,
entono-from-here,yab,entono,,from_here,entono,e n t o n o,,
ente-here-loc,yab,entë,,here.LOC,entë,e n t ə,,
epe-escape,yab,epe,,escape; hide_and_seek,epe,e p e,,
eretapi-cultivated-plant,yab,eretapi,,cultivated_plant,eretapi,e r e t a p i,,
ewine-here-all,yab,ewinë,,here.ALL,ewinë,e w i n ə,,
ijmoy-egg,yab,ijmoy,,egg,ijmoy,i h m o j,,
ijpu-summit,yab,ijpu,,summit,ijpu,i h p u,,
inawe-have,yab,inawë,,have,inawë,i n a w ə,,
ini-see,yab,ini,,see,ini,i n i,,
in-see,yab,in,,see,in,i n,,
intipijke-small,yab,intipijkë,,small,intipijkë,i n t i p i h k ə,? + [](MorphsetTable#cldf:pijkedim),
iriyawe-then,yab,iriyawë,,then,iriyawë,i r i j a w ə,,
irejpe-then,yab,irëjpë,,then,irëjpë,i r ə h p ə,,
ita-hear,yab,ita,,hear,ita,i t a,,
iyajtepe-before,yab,iyajtëpe,,before,iyajtëpe,i j a h t ə p e,,
iyajte-care-for,yab,iyajtë,,care_for,iyajtë,i j a h t ə,,
jta-foot,yab,jta,,foot,jta,h t a,,
jwaka-ill-aq,yab,jwaka,,ILL.AQ; LOC.AQ,jwaka,h w a k a,,
kaimo-game,yab,kaimo,,game,kaimo,k a i m o,,
kamere-lightning,yab,kamere,,lightning,kamere,k a m e r e,,
kampara-big,yab,kampara,,big,kampara,k a m p a r a,,
kampra-big,yab,kampra,,big,kampra,k a m p r a,,
kamwiyajka-change,yab,kamwiyajka,,change,kamwiyajka,k a m w i j a h k a,,
kapau-dasypus-novemcinctus,yab,kapau,,dasypus_novemcinctus,kapau,k a p a u,,
karasake-white,yab,karasake,,white,karasake,k a r a s a k e,Probably contains [mp](keprop).,
ka-take-out,yab,ka,,take_out,ka,k a,,
kasajpe-fruit-pit,yab,kasajpë,,fruit_pit,kasajpë,k a s a h p ə,,
kaso-fat,yab,kaso,,fat,kaso,k a s o,,
kawono-high,yab,kawono,,high,kawono,k a w o n o,,
kawon-high,yab,kawon,,high,kawon,k a w o n,,
kawe-high,yab,kawë,,high,kawë,k a w ə,,
kayami-louse,yab,kayamï,,louse,kayamï,k a j a m ɨ,,
kaya-barbasco,yab,kaya,,barbasco,kaya,k a j a,,
kaya-gourd,yab,kaya,,gourd,kaya,k a j a,,
