ID,Form,Morpheme_ID,Comment
dt2,s-,dt2,
tavbz,-ta,tavbz,
dt1,ëj-,dt1,
nonmlz,-no,anonmlz,
nnmlz,-n,anonmlz,
anonmlz,-ano,anonmlz,
jtevbz,-jtë,jtevbz,
pstjpe1,-jpë,jpepst,
plur1,-pëti,petiplur,
plur2,-pëj,petiplur,Syllable reduction
rupert,-ru,rupert,
sapepfv,-sapë,sapepfv,
sajpfv,-saj,sapepfv,
septcp,-se,septcp,
minmlz,-mï,minmlz,
ipert,-i,rupert,Uncertain analysis.
ripert,-ri,rupert,
ninmlz,-ni,ninmlz,
cheptcp,-che,septcp,
pininmlz,‑pïnï,pininmlz,
nnmlzpre,n-,nnmlzpre,
tojpepurp,-tojpe,tojpepurp,
