ID,Translation_en,Comment,Tags
convrisamaj-1,You see something and then you laugh.,,
convrisamaj-2,You just laugh.,,
convrisamaj-3,"We don’t just laugh, right, aunt?",,
convrisamaj-4,I don’t laugh.,,
convrisamaj-5,"We laugh when somebody tells (us) something, something you see well, like that, right.",,
convrisamaj-6,How will we laugh?,More material after *yaruwari*.,
convrisamaj-7,"I don’t laugh, but they are saying “hahaha”.",,
convrisamaj-8,"Oh! You don’t get tired of laughing? I don’t laugh, is what I’m saying.",What’s yaruwa-ri?,
convrisamaj-9,"Yes indeed, they tell what they are doing there on the down-low.",What is *poko-no* here?,
convrisamaj-10,They laugh because they tell it.,What is *irëjpë*?,
convrisamaj-11,"We’re not like that, we don’t just laugh.",,
convrisamaj-12,What are we going to laugh about?,,
convrisamaj-13,"Nothing, there’s nothing for us to laugh.",,
convrisamaj-14,That’s what I say.,,
convrisamaj-15,I want to hear it.,,
convrisamaj-16,What are you saying?,,
convrisamaj-17,That’s all I’m saying.,,
convrisamaj-18,"That’s all I’m saying, too, I don’t know.",,
convrisamaj-19,What are we going to laugh about?,,
convrisamaj-20,I don’t laugh.,,
convrisamaj-21,"I don’t laugh, I silently stay in my house.",,
convrisamaj-22,They’re laughing and I’m listening.,Something after *itari*?,
convrisamaj-23,"Ugh, don’t you get tired from laughing so much?",*yaruwa-ri*?,
convrisamaj-24,I’m saying I am not happy.,No initial *wïrë*?,
convrisamaj-25,You’re right.,,
convrisamaj-26,### I say.,,
convrisamaj-27,"I’m not like that, I don’t laugh.",,
convrisamaj-28,I silently stay in my house.,,
convrisamaj-29,"We don’t see anything good, so we don’t laugh.",Typo: *pïrärë*.,
convrisamaj-30,"You see, that’s why.",,
convrisamaj-31,That’s why we don’t laugh.,,
convrisamaj-32,But they’re constantly laughing.,"*tëwïsanto*, no *-mo*.",
convrisamaj-33,Because they see they laugh.,,
convrisamaj-34,"What they did, they’re going to tell.",,
convrisamaj-35,So that’s why they’re laughing.,No *-mo*.,
convrisamaj-36,,Unclear Spanish translation.,
convrisamaj-37,So I won’t say any more.,,
convrisamaj-38,They like laughing.,No *-mo*.,
convrisamaj-39,,,
convrisamaj-40,I also listened some times.,,
convrisamaj-41,,,
convrisamaj-42,They laugh every day.,,
convrisamaj-43,That’s what they say (?),,
convrisamaj-44,I haven’t seen.,,
convrisamaj-45,"Ugh, you are happy but I am not, I say.",,
convrisamaj-46,I just talk.,ERG with INTR?,
convrisamaj-47,"Who are we gonna talk to? We’re alone, aunt.",,
convrisamaj-48,Because we don’t have friends we don’t have anything to laugh.,,
convrisamaj-49,That’s right!,,
convrisamaj-50,"When we’re alone, we don’t laugh.",,
convrisamaj-51,What are we going to laugh about? Nothing.,,
convrisamaj-52,"Oh, there’s nothing to laugh about.",,
convrisamaj-53,That’s all I’m saying.,,
convrisamaj-54,Nothing.,,
ctorat-1,My mother told this (story).,,
ctorat-2,The mice.,,
ctorat-3,"A man went there, far, to sleep.",Focus intonation contour on ‘there’.,
