source_table,source_key,target_table,target_key
FormTable,POS,POSTable,ID
MorphTable,Morpheme_ID,MorphsetTable,ID
FormSlices,Form_ID,FormTable,ID
FormSlices,Morph_ID,MorphTable,ID
FormSlices,Form_Meaning,ParameterTable,ID
FormSlices,Morpheme_Meaning,ParameterTable,ID
ExampleSlices,Form_ID,FormTable,ID
ExampleSlices,Example_ID,ExampleTable,ID
ExampleSlices,Parameter_ID,ParameterTable,ID
ExampleTable,Text_ID,TextTable,ID
ExampleTable,Speaker_ID,SpeakerTable,ID
InflectionTable,Form_ID,FormTable,ID
InflectionTable,Lexeme_ID,LexemeTable,ID
LexemeMorphemeParts,Morpheme_ID,MorphsetTable,ID
LexemeMorphemeParts,Lexeme_ID,LexemeTable,ID
LexemeLexemeParts,Base_ID,LexemeTable,ID
LexemeLexemeParts,Lexeme_ID,LexemeTable,ID
