ID,Wordform_ID,Example_ID,Index,Parameter_ID
convcosnoind-2-0,toto-non-indian,convcosnoind-2,0,
convcosnoind-3-1,re-emp,convcosnoind-3,1,
convcosnoind-3-2,mokontomo-2pl-pro,convcosnoind-3,2,
convcosnoind-3-3,ya-erg,convcosnoind-3,3,
convcosnoind-3-4,yenijpe-drink-pst,convcosnoind-3,4,
convcosnoind-3-5,ta-say-ipfv,convcosnoind-3,5,
convcosnoind-3-6,ta-like,convcosnoind-3,6,
convcosnoind-3-8,ta-say-acnnmlz,convcosnoind-3,8,
convcosnoind-4-0,tototon-non-indian-pl,convcosnoind-4,0,
convcosnoind-4-1,yoti-lk-meat-pert,convcosnoind-4,1,
convcosnoind-4-2,ti-hsy,convcosnoind-4,2,
convcosnoind-5-0,aaa-ah,convcosnoind-5,0,
convcosnoind-5-1,tewi-3pro,convcosnoind-5,1,
convcosnoind-5-2,yoti-lk-meat-pert,convcosnoind-5,2,
convcosnoind-5-4,warai-like,convcosnoind-5,4,
convcosnoind-5-6,warai-like,convcosnoind-5,6,
convcosnoind-5-8,ta-say-acnnmlz,convcosnoind-5,8,
convcosnoind-6-0,e-e-yes,convcosnoind-6,0,
convcosnoind-6-1,tewi-3pro,convcosnoind-6,1,
convcosnoind-6-2,waraij-like,convcosnoind-6,2,
convcosnoind-6-3,tase-say-pst,convcosnoind-6,3,
convcosnoind-6-4,ta-like,convcosnoind-6,4,
convcosnoind-6-5,asuka-sugar,convcosnoind-6,5,
convcosnoind-7-0,tewi-3pro,convcosnoind-7,0,
convcosnoind-7-1,waraij-like,convcosnoind-7,1,
convcosnoind-7-2,chi-cop-acnnmlz,convcosnoind-7,2,
convcosnoind-7-3,yawe-loc,convcosnoind-7,3,
convcosnoind-7-4,asuka-sugar,convcosnoind-7,4,
convcosnoind-7-5,warai-like,convcosnoind-7,5,
convcosnoind-8-1,neke-cntr,convcosnoind-8,1,
convcosnoind-8-2,ne-ints,convcosnoind-8,2,
convcosnoind-10-0,tewi-3pro,convcosnoind-10,0,
convcosnoind-10-1,yewenke-lk-ignorant,convcosnoind-10,1,
convcosnoind-11-0,awata-surp,convcosnoind-11,0,
convcosnoind-11-2,taki-cnfrm,convcosnoind-11,2,
convcosnoind-12-2,pirare-neg-exist,convcosnoind-12,2,
convcosnoind-12-4,nwa-thus,convcosnoind-12,4,
convcosnoind-12-5,re-emp,convcosnoind-12,5,
convcosnoind-12-7,ma-rst,convcosnoind-12,7,
convcosnoind-13-2,ma-rst,convcosnoind-13,2,
convcosnoind-14-1,yakere-lk-with,convcosnoind-14,1,
convcosnoind-14-2,ma-rst,convcosnoind-14,2,
convcosnoind-14-3,ejne-1-2pro,convcosnoind-14,3,
convcosnoind-14-5,wejsape-cop-pfv,convcosnoind-14,5,
convcosnoind-15-1,sa-eval,convcosnoind-15,1,
convcosnoind-16-0,irejpe-then,convcosnoind-16,0,
convcosnoind-16-1,taki-cnfrm,convcosnoind-16,1,
convcosnoind-17-2,ma-rst,convcosnoind-17,2,
convcosnoind-18-1,ma-rst,convcosnoind-18,1,
convcosnoind-18-3,ke-ins,convcosnoind-18,3,
convcosnoind-18-4,ejne-1-2pro,convcosnoind-18,4,
convcosnoind-19-1,taki-cnfrm,convcosnoind-19,1,
convcosnoind-19-4,ma-rst,convcosnoind-19,4,
convcosnoind-20-0,e-e-yes,convcosnoind-20,0,
convcosnoind-20-2,ke-ins,convcosnoind-20,2,
convcosnoind-21-0,ejne-1-2pro,convcosnoind-21,0,
convcosnoind-21-2,wejsape-cop-pfv,convcosnoind-21,2,
convcosnoind-22-0,tewi-3pro,convcosnoind-22,0,
convcosnoind-22-1,tawara-too,convcosnoind-22,1,
