ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_ID,Part_Of_Speech,Original_Translation,Text_ID,Record_Number,Speaker_ID
convcosnoind-1,yab,penajrë,penajrë,***,before (auto),,,convcosnoind-1,?,antes,convcosnoind,1,pape
convcosnoind-2,yab,¿ toto nairi?,toto	nairi,non_Indian	?,the things of the Creoles? (auto),,,convcosnoind-2,n	?,¿las cosas de los criollos?,convcosnoind,2,anfo
convcosnoind-3,yab,"kwaraijyawë rë mokontomo ya yenijpë ta ta, seremajpë ta wara",kwaraijyawë	rë	mokontomo	ya	yeni-jpë	ta-∅	ta	seremajpë	ta-∅	wara,***	EMP	2PL.PRO	ERG	drink-PST	say-IPFV	like	?	say-ACNNMLZ	?,"Since when do you guys drink, he said, how did you eat that? (auto)",,,convcosnoind-3,?	part	pn	postp	vt	vt	part	?	n	?,"desde cuando ustedes toman, dijo, como comieron eso?",convcosnoind,3,pape
convcosnoind-4,yab,¿ tototon yoti ti?,toto-ton	y-oti-∅	ti,non_Indian-PL	LK-meat-PERT	HSY,the food of the Creoles? (auto),,,convcosnoind-4,n	n	part,¿la comida de los criollos?,convcosnoind,4,anfo
convcosnoind-5,yab,"aaa, tëwï yoti, kajwe warai, awena warai pïnika ta wara",aaa	tëwï	y-oti-∅	kajwe	warai	awena	warai	pïnika	ta-∅	wara,ah	3PRO	LK-meat-PERT	?	like	***	like	?	say-ACNNMLZ	?,"aa, your food, like coffee, like oatmeal, maybe like this. (auto)",,,convcosnoind-5,intj	pn	n	?	postp	?	postp	?	n	?,"aa, su comida, como café, como avena, tal vez así",convcosnoind,5,pape
convcosnoind-6,yab,"ë'ë, tëwï waraij tase ta asuka",ë'ë	tëwï	waraij	ta-se	ta	asuka,yes	3PRO	like	say-PST	like	sugar,"yes, like that, sugar (auto)",,,convcosnoind-6,intj	pn	postp	vt	part	n,"sí, como eso, azúcar",convcosnoind,6,anfo
convcosnoind-7,yab,"tëwï waraij chi yawë, asuka warai",tëwï	waraij	chi-∅	yawë	asuka	warai,3PRO	like	COP-ACNNMLZ	LOC	sugar	like,"like that, like sugar (auto)",,,convcosnoind-7,pn	postp	n	postp	n	postp,"como eso, como azúcar",convcosnoind,7,pape
convcosnoind-8,yab,sayu neke ne penajrë wepïjpë,sayu	neke	ne	penajrë	wepïjpë,***	CNTR	INTS	***	?,salt came from before (auto),,,convcosnoind-8,?	part	part	?	?,la sal vino desde antes,convcosnoind,8,pape
convcosnoind-9,yab,chijpë pïnirë,chijpë	pïnirë,?	?,did not exist (auto),,,convcosnoind-9,?	?,no existía,convcosnoind,9,pape
convcosnoind-10,yab,tëwï yewenke,tëwï	y-ewenke,3PRO	LK-ignorant,it is not known (auto),,,convcosnoind-10,pn	postp,eso no se sabe,convcosnoind,10,pape
convcosnoind-11,yab,¡ awata %¡ sayu takï,awata	sayu	takï,SURP	***	CNFRM,"no sé, si la sal (auto)",,,,intj	?	part,"no sé, si la sal",convcosnoind,11,anfo
convcosnoind-12,yab,"penajrë pïnika pïrarë wejsapë, nwarë katara ma",penajrë	pïnika	pïrarë	wejsapë	nwa=rë	katara	ma,***	?	NEG.EXIST	?	thus=EMP	***	RST,"before maybe there was no yare, only yare (auto)",,,convcosnoind-12,?	?	part	?	part	?	part,"antes tal vez no había, solo yare",convcosnoind,12,anfo
convcosnoind-13,yab,"ati, katara ma",ati	katara	ma,?	***	RST,"###, only yare (auto)",,,convcosnoind-13,?	?	part,"###, solo yare",convcosnoind,13,pape
convcosnoind-14,yab,kïmïij yakërë ma ejnë serema wejsapë,kïmïij	y-akërë	ma	ejnë	serema	wej-sapë,***	LK-with	RST	1+2PRO	?	COP-PFV,we used to eat only with chili (auto),,,convcosnoind-14,?	postp	part	pn	?	vi,comíamos sólo con ají,convcosnoind,14,anfo
convcosnoind-15,yab,penajrë sa tanijpë,penajrë	sa	tanijpë,***	EVAL	***,¡antes! (auto),,,convcosnoind-15,?	part	?,¡antes!,convcosnoind,15,anfo
convcosnoind-16,yab,irëjpë takï sayu,irëjpë	takï	sayu,then	CNFRM	***,then yes salt (auto),,,convcosnoind-16,adv	part	?,después sí la sal,convcosnoind,16,anfo
convcosnoind-17,yab,"mm, enirëpëke ma",mm	enirëpëke	ma,***	***	RST,,,,convcosnoind-17,?	?	part,,convcosnoind,17,pape
convcosnoind-18,yab,enirëpëke ma sayu ke ejnë seremari,enirëpëke	ma	sayu	ke	ejnë	seremari,***	RST	***	INS	1+2PRO	?,we have been eating with salt for not too long (auto),,,convcosnoind-18,?	part	?	postp	pn	?,desde no hace mucho comemos con sal,convcosnoind,18,anfo
