ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
atiri-plot-of-cultivated-land-pert-1-pert,ati-plot-of-cultivated-land,pert,atiri-plot-of-cultivated-land-pert-1,
atirijpe-plot-of-cultivated-land-pert-pst-1-pert,ati-plot-of-cultivated-land,pert,atirijpe-plot-of-cultivated-land-pert-pst-1,
atirijpe-plot-of-cultivated-land-pert-pst-2-pst,ati-plot-of-cultivated-land,pst,atirijpe-plot-of-cultivated-land-pert-pst-2,
ayawori-2-lk-uncle-pert-0-2,awo-uncle,2,ayawori-2-lk-uncle-pert-0,
ayawori-2-lk-uncle-pert-3-pert,awo-uncle,pert,ayawori-2-lk-uncle-pert-3,
chijchipuru-body-movement-pert-1-pert,chijchipu-body-movement,pert,chijchipuru-body-movement-pert-1,
ijtari-3-foot-pert-0-3,jta-foot,3,ijtari-3-foot-pert-0,
ijtari-3-foot-pert-2-pert,jta-foot,pert,ijtari-3-foot-pert-2,
ntate-mouth-npert-1-npert,nta-mouth,npert,ntate-mouth-npert-1,
saparari-heavy-pot-pert-1-pert,sapara-heavy-pot,pert,saparari-heavy-pot-pert-1,
takunuru-laziness-pert-1-pert,takunu-laziness,pert,takunuru-laziness-pert-1,
tawori-3-uncle-pert-0-3,awo-uncle,3,tawori-3-uncle-pert-0,
tawori-3-uncle-pert-2-pert,awo-uncle,pert,tawori-3-uncle-pert-2,
tejweti-3-hammock-pert-0-3,ejwe-hammock,3,tejweti-3-hammock-pert-0,
tejweti-3-hammock-pert-2-pert,ejwe-hammock,pert,tejweti-3-hammock-pert-2,
tepese-3-escape-pst-0-3,epe-escape,3,tepese-3-escape-pst-0,
tepese-3-escape-pst-2-pst,epe-escape,pst,tepese-3-escape-pst-2,
terepunu-3-sick-pert-0-3,erepunu-sick,3,terepunu-3-sick-pert-0,
terepunu-3-sick-pert-2-pert,erepunu-sick,pert,terepunu-3-sick-pert-2,
toti-3-meat-pert-0-3,oti-meat,3,toti-3-meat-pert-0,
toti-3-meat-pert-2-pert,oti-meat,pert,toti-3-meat-pert-2,
weseyuru-be-brave-ipfv-1-ipfv,weseyu-be-brave,ipfv,weseyuru-be-brave-ipfv-1,
ejte-house-npert-1-npert,ej-house,npert,ejte-house-npert-1,
yenijpe-drink-pst-1-pst,yeni-drink-1,pst,yenijpe-drink-pst-1,
ta-say-ipfv-1-ipfv,ta-say,ipfv,ta-say-ipfv-1,
tototon-non-indian-pl-1-pl,toto-non-indian,pl,tototon-non-indian-pl-1,
yoti-lk-meat-pert-2-pert,oti-meat,pert,yoti-lk-meat-pert-2,
tase-say-pst-1-pst,ta-say,pst,tase-say-pst-1,
wejsape-cop-pfv-1-pfv,wej-cop,pfv,wejsape-cop-pfv-1,
yenija-drink-neg-1-neg,yeni-drink-1,neg,yenija-drink-neg-1,
yenija-drink-neg-1-1-neg,yeni-drink,neg,yenija-drink-neg-1-1,
esene-see-self-ipfv-1-ipfv,esene-see-self,ipfv,esene-see-self-ipfv-1,
seneja-see-self-neg-1-neg,sene-see-self,neg,seneja-see-self-neg-1,
okiri-chicha-pert-1-pert,oki-chicha,pert,okiri-chicha-pert-1,
tainija-3p-see-neg-0-3,ini-see,3,tainija-3p-see-neg-0,
tainija-3p-see-neg-2-neg,ini-see,neg,tainija-3p-see-neg-2,
yeneja-eat-meat-neg-1-neg,yene-eat-meat,neg,yeneja-eat-meat-neg-1,
tewarai-3-like-0-3,warai-like,3,tewarai-3-like-0,
yuru-lk-starchy-food-pert-2-pert,u-starchy-food,pert,yuru-lk-starchy-food-pert-2,
