ID,Language_ID,Name,Description,Part_Of_Speech,Parameter_ID,Comment,Paradigm_View,Source
achi-wilderness,yab,achi,,n,wilderness,,,
aijkorono-recovered,yab,aijkorono,,n,recovered,,,
ajpachi-undergrowth,yab,ajpachi,,n,undergrowth,,,
aki-worm,yab,akï,,n,worm; maggot,,,
amu-ripeness,yab,amu,,n,ripeness,,,
ami-unidentified-plant,yab,amï,,n,unidentified_plant,,,
ana-1-3pro,yab,ana,,pn,1+3PRO,,,
anoto-annatto,yab,anoto,,n,annatto,,,
anta-island,yab,anta,,n,island,,,
ante-fish-hook,yab,antë,,n,fish_hook,,,
api-ripeness,yab,api,,n,ripeness,,,
apo-later,yab,apo,,adv,later; meanwhile,,,
apuni-soap,yab,apuni,,n,soap,,,
arajmate-dangerous,yab,arajmatë,,adv,dangerous,,,
arina-trembler,yab,arina,,n,trembler,,,
aro-rice,yab,aro,,n,rice,,,
aroma-limpet,yab,aroma,,n,limpet,,,
aropoko-ball-game,yab,aropoko,,n,ball_game,,,
asakontompene-four,yab,asakontompene,,adv,four,,,
asake-two,yab,asakë,,adv,two,,,
asere-dry-cough,yab,asere,,n,dry_cough,,,
asuka-sugar,yab,asuka,,n,sugar,,,
ati-plot-of-cultivated-land,yab,ati,,n,plot_of_cultivated_land,,,
awochi-tumor,yab,awochi,,n,tumor,,,
chijchipu-body-movement,yab,chijchipu,,n,body_movement,,,
chika-bite,yab,chika,,vt,bite,,,
chike-chigger,yab,chikë,,n,chigger,,,
chima-path,yab,chima,,n,path,,,
chimichimi-worm-dog,yab,chimichimi,,n,worm(dog),,,
chipiyu-fungus-sp,yab,chipiyu,,n,fungus.sp,,,
chiramu-mange,yab,chiramu,,n,mange,,,
chirike-star,yab,chirikë,,n,star,,,
chiri-titi-monkey,yab,chiri,,n,titi_monkey,,,
chiri-wild-pineapple,yab,chiri,,n,wild_pineapple,,,
chiyakono-friend,yab,chiyakono,,n,friend,,,
chekey-nit,yab,chëkëy,,n,nit,,,
ejne-1-2pro,yab,ejnë,,pn,1+2PRO,,,
enijpete-one,yab,enijpëtë,,adv,one,,,
enire-now,yab,enirë,,adv,now; today,,,
entono-from-here,yab,entono,,n,from_here,,,
ente-here-loc,yab,entë,,adv,here.LOC,,,
epe-escape,yab,epe,,vi,escape; hide_and_seek,,,
eretapi-cultivated-plant,yab,eretapi,,n,cultivated_plant,,,
ewine-here-all,yab,ewinë,,adv,here.ALL,,,
ijmoy-egg,yab,ijmoy,,n,egg,,,
ijpu-summit,yab,ijpu,,n,summit,,,
inawe-have,yab,inawë,,postp,have,,,
ini-see,yab,ini,,vt,see,,,
intipijke-small,yab,intipijkë,,adv,small,? + [](MorphsetTable#cldf:pijkedim),,
iriyawe-then,yab,iriyawë,,adv,then,,,
irejpe-then,yab,irëjpë,,adv,then,,,
ita-hear,yab,ita,,vt,hear,,,
iyajtepe-before,yab,iyajtëpe,,adv,before,,,
iyajte-care-for,yab,iyajtë,,vt,care_for,,,
jta-foot,yab,jta,,n,foot,,,
jwaka-ill-aq,yab,jwaka,,postp,ILL.AQ; LOC.AQ,,,
kaimo-game,yab,kaimo,,n,game,,,
kamere-lightning,yab,kamere,,n,lightning,,,
kampara-big,yab,kampara,,n,big,,,
kamwiyajka-change,yab,kamwiyajka,,vt,change,,,
kapau-dasypus-novemcinctus,yab,kapau,,n,dasypus_novemcinctus,,,
karasake-white,yab,karasake,,adv,white,Probably contains [mp](keprop).,,
ka-take-out,yab,ka,,vt,take_out,,,
kasajpe-fruit-pit,yab,kasajpë,,n,fruit_pit,,,
kaso-fat,yab,kaso,,n,fat,,,
kawono-high,yab,kawono,,n,high,,,
kawe-high,yab,kawë,,adv,high,,,
kayami-louse,yab,kayamï,,n,louse,,,
kaya-barbasco,yab,kaya,,n,barbasco,,,
kaya-gourd,yab,kaya,,n,gourd,,,
kejkepe-salamander,yab,kejkepe,,n,salamander,,,
kinta-become-tired,yab,kinta,,vi,become_tired,,,
kocha-tail,yab,kocha,,n,tail,,,
kojpa-night,yab,kojpa,,n,night,,,
konopo-rain,yab,konopo,,n,rain,,,
ko-brassolis-sophorae,yab,ko,,n,brassolis_sophorae,,,
korokoro-c,yab,korokoro,,n,C.,,,
kuku-answer,yab,kuku,,vt,answer,,,
kune-cook,yab,kunë,,vt,cook,,,
kuru-prochilodus-mariae,yab,kuru,,n,prochilodus_mariae,,,
kuruwa-coroba-palm,yab,kuruwa,,n,coroba_palm,,,
kuya-tree-sp,yab,kuya,,n,tree.sp,,,
kuyuwi-bird-sp,yab,kuyuwi,,n,bird.sp,,,
kejma-hunt,yab,këjma,,vt,hunt,,,
kemu-pus,yab,këmu,,n,pus,,,
keta-stink,yab,këta,,vi,stink,,,
ketejwate-cotton,yab,këtëjwatë,,n,cotton,,,
keya-think,yab,këya,,vi,think,,,
kimiy-chili,yab,kïmïy,,n,chili,,,
kiripi-go-out,yab,kïrïpï,,vi,go_out,,,
majawa-m,yab,majawa,,n,M.,,,
majpe-m,yab,majpë,,n,M.,,,
maka-ceiba-pentandra,yab,maka,,n,ceiba_pentandra,,,
makarike-cayman,yab,makarikë,,n,cayman,,,
makuyupi-catfish-sp,yab,makuyupi,,n,catfish.sp,,,
make-mom,yab,makë,,n,mom,,,
mapara-chicken,yab,mapara,,n,chicken,,,
mare-still,yab,marë,,adv,still,,,
mati-breast,yab,mati,,n,breast,,,
mayawaka-m,yab,mayawaka,,n,M.,,,
mejya-cover,yab,mejya,,n,cover,,,
miti-root,yab,miti,,n,root; vein,,,
mone-vagina,yab,mone,,n,vagina,,,
moneka-girl-voc,yab,moneka,,n,girl.VOC,,,
monkontomo-2pl-pro,yab,monkontomo,,pn,2PL.PRO,,,
moroko-fish,yab,moroko,,n,fish,,,
morone-hurting,yab,morone,,adv,hurting,,,
moroni-pain,yab,moroni,,n,pain,,,
morono-poison,yab,morono,,n,poison,,,
moto-worm,yab,moto,,n,worm,,,
moyochi-spider-sp,yab,moyochi,,n,spider(sp.),,,
mujna-grave,yab,mujna,,n,grave,,,
mujyane-pregnancy,yab,mujyanë,,n,pregnancy,,,
muku-child,yab,muku,,n,child,,,
mune-bulbous,yab,mune,,adv,bulbous,,,
munta-budding,yab,munta,,vi,budding,,,
mejki-dist-anim,yab,mëjkï,,pn,DIST.ANIM,,,
mere-2pro,yab,mërë,,pn,2PRO,,,
mijna-there-all,yab,mïjna,,adv,there.ALL,,,
minte-there-loc,yab,mïntë,,adv,there.LOC,,,
mira-priodontes-maximus,yab,mïra,,n,priodontes_maximus,,,
nai-do,yab,nai,,vt,do,,,
najmo-grandmother,yab,najmo,,n,grandmother,,,
najpi-grandfather,yab,najpï,,n,grandfather,,,
najwata-harbor,yab,najwata,,n,harbor,,,
naki-thirst,yab,naki,,n,thirst,,,
nata-door,yab,nata,,n,door,,,
nepi-bring,yab,nepï,,vt,bring,,,
nono-earth,yab,nono,,n,earth,,,
nope-good,yab,nope,,adv,good,,,
noro-parrot-sp,yab,noro,,n,parrot.sp,,,
noti-potential-partner,yab,noti,,n,potential_partner; cross_cousin,,,
nta-mouth,yab,nta,,n,mouth,,,
nune-moon,yab,nunë,,n,moon,,,
nu-tongue,yab,nu,,n,tongue,,,
nwajte-dance,yab,nwajtë,,vi,dance,,,
neme-leave,yab,nëmë,,vt,leave,,,
ochi-o,yab,ochi,,n,O.,,,
ojpa-give-drink,yab,ojpa,,vt,give_drink,,,
onono-another,yab,onono,,n,another,,,
orojyamo-evil-being,yab,orojyamo,,n,evil_being,,,
pachi-older-sister-of-woman,yab,pachi,,n,older_sister_of_woman,,,
paijku-p,yab,paijku,,n,P.,,,
paka-cow,yab,paka,,n,cow,,,
pakara-basket,yab,pakara,,n,basket,,,
pakura-coix-lacryma-jobi,yab,pakura,,n,Coix_lacryma_jobi,,,
paku-arrow-tip,yab,paku,,n,arrow_tip,,,
pana-ear,yab,pana,,n,ear,,,
pana-dat,yab,pana,,postp,DAT,,,
papa-father,yab,papa,,n,father,,,
parujpe-broth,yab,parujpë,,n,broth,,,
pata-village,yab,pata,,n,village,,,
pata-axe,yab,pata,,n,axe,,,
pate-cross,yab,patë,,vt,cross,,,
penare-before,yab,penarë,,adv,before,,,
pene-piranha,yab,pene,,n,piranha,,,
pepoye-above-perl,yab,pepoye,,postp,above.PERL,,,
pe-palm-sp,yab,pe,,n,palm.sp,,,
peti-leg,yab,peti,,n,leg,,,
peye-turtle-sp,yab,peye,,n,turtle.sp,,,
picha-capuchin-monkey,yab,picha,,n,capuchin_monkey,,,
pichipichi-whitebait,yab,pichipichi,,n,whitebait,,,
pijpe-skin,yab,pijpë,,n,skin,,,
pika-peel,yab,pika,,vt,peel,,,
pike-fart,yab,pikë,,n,fart,,,
pipi-younger-brother-of-woman,yab,pipi,,n,younger_brother_of_woman,,,
pirini-walk,yab,pirini,,vi,walk,,,
pojte-want,yab,pojtë,,vt,want,,,
poroko-basket-sp,yab,poroko,,n,basket.sp,,,
poseti-belly,yab,poseti,,n,belly,,,
pota-mouth,yab,pota,,n,mouth; shore,,,
poye-above,yab,poye,,postp,above,,,
punu-flesh,yab,punu,,n,flesh,,,
putu-feel,yab,putu,,vt,feel,,,
peke-about,yab,pëkë,,postp,about,,,
penaka-return,yab,pënaka,,vt,return,Maybe derived with [mp](kavbz).,,
