ID,Stem_ID,Morph_ID,Index,Gloss_ID
achi-wilderness,achi-wilderness,achi-wilderness,0,wilderness
aijkorono-recovered,aijkorono-recovered,aijkorono-recovered,0,recovered
ajpachi-undergrowth,ajpachi-undergrowth,ajpachi-undergrowth,0,undergrowth
aki-worm,aki-worm,aki-worm,0,worm
amu-ripeness,amu-ripeness,amu-ripeness,0,ripeness
ami-unidentified-plant,ami-unidentified-plant,ami-unidentified-plant,0,unidentified-plant
ana-1-3pro,ana-1-3pro,ana-1-3pro,0,1-3pro
anoto-annatto,anoto-annatto,anoto-annatto,0,annatto
anta-island,anta-island,anta-island,0,island
ante-fish-hook,ante-fish-hook,ante-fish-hook,0,fish-hook
api-ripeness,api-ripeness,api-ripeness,0,ripeness
apo-later,apo-later,apo-later,0,later
apuni-soap,apuni-soap,apuni-soap,0,soap
arajmate-dangerous,arajmate-dangerous,arajmate-dangerous,0,dangerous
arina-trembler,arina-trembler,arina-trembler,0,trembler
aro-rice,aro-rice,aro-rice,0,rice
aroma-limpet,aroma-limpet,aroma-limpet,0,limpet
aropoko-ball-game,aropoko-ball-game,aropoko-ball-game,0,ball-game
asakontompene-four,asakontompene-four,asakontompene-four,0,four
asake-two,asake-two,asake-two,0,two
asere-dry-cough,asere-dry-cough,asere-dry-cough,0,dry-cough
asuka-sugar,asuka-sugar,asuka-sugar,0,sugar
ati-plot-of-cultivated-land,ati-plot-of-cultivated-land,ati-plot-of-cultivated-land,0,plot-of-cultivated-land
ati-plot-of-cultivated-land-1,ati-plot-of-cultivated-land-1,ati-plot-of-cultivated-land-1,0,plot-of-cultivated-land
awochi-tumor,awochi-tumor,awochi-tumor,0,tumor
chijchipu-body-movement,chijchipu-body-movement,chijchipu-body-movement,0,body-movement
chika-bite,chika-bite,chika-bite,0,bite
chike-chigger,chike-chigger,chike-chigger,0,chigger
chima-path,chima-path,chima-path,0,path
chimichimi-worm-dog,chimichimi-worm-dog,chimichimi-worm-dog,0,worm-dog
chipiyu-fungus-sp,chipiyu-fungus-sp,chipiyu-fungus-sp,0,"fungus,sp"
chiramu-mange,chiramu-mange,chiramu-mange,0,mange
chirike-star,chirike-star,chirike-star,0,star
chiri-titi-monkey,chiri-titi-monkey,chiri-titi-monkey,0,titi-monkey
chiri-wild-pineapple,chiri-wild-pineapple,chiri-wild-pineapple,0,wild-pineapple
chiyakono-friend,chiyakono-friend,chiyakono-friend,0,friend
chiyakon-friend,chiyakon-friend,chiyakon-friend,0,friend
chiyakom-friend,chiyakom-friend,chiyakom-friend,0,friend
chekey-nit,chekey-nit,chekey-nit,0,nit
ejne-1-2pro,ejne-1-2pro,ejne-1-2pro,0,1-2pro
enijpete-one,enijpete-one,enijpete-one,0,one
enire-now,enire-now,enire-now,0,now
eniro-now,eniro-now,eniro-now,0,now
entono-from-here,entono-from-here,entono-from-here,0,from-here
ente-here-loc,ente-here-loc,ente-here-loc,0,"here,loc"
epe-escape,epe-escape,epe-escape,0,escape
eretapi-cultivated-plant,eretapi-cultivated-plant,eretapi-cultivated-plant,0,cultivated-plant
ewine-here-all,ewine-here-all,ewine-here-all,0,"here,all"
ijmoy-egg,ijmoy-egg,ijmoy-egg,0,egg
ijpu-summit,ijpu-summit,ijpu-summit,0,summit
inawe-have,inawe-have,inawe-have,0,have
ini-see,ini-see,ini-see,0,see
in-see,in-see,in-see,0,see
ene-see,ene-see,ene-see,0,see
intipijke-small,intipijke-small,intipijke-small,0,small
iriyawe-then,iriyawe-then,iriyawe-then,0,then
irejpe-then,irejpe-then,irejpe-then,0,then
ita-hear,ita-hear,ita-hear,0,hear
iyajtepe-before,iyajtepe-before,iyajtepe-before,0,before
iyajte-care-for,iyajte-care-for,iyajte-care-for,0,care-for
jta-foot,jta-foot,jta-foot,0,foot
jwaka-ill-aq,jwaka-ill-aq,jwaka-ill-aq,0,"ill,aq"
kaimo-game,kaimo-game,kaimo-game,0,game
kamere-lightning,kamere-lightning,kamere-lightning,0,lightning
kampara-big,kampara-big,kampara-big,0,big
kampra-big,kampra-big,kampra-big,0,big
kamwiyajka-change,kamwiyajka-change,kamwiyajka-change,0,change
kapau-dasypus-novemcinctus,kapau-dasypus-novemcinctus,kapau-dasypus-novemcinctus,0,dasypus-novemcinctus
karasake-white,karasake-white,karasake-white,0,white
ka-take-out,ka-take-out,ka-take-out,0,take-out
kasajpe-fruit-pit,kasajpe-fruit-pit,kasajpe-fruit-pit,0,fruit-pit
kaso-fat,kaso-fat,kaso-fat,0,fat
kawono-high,kawono-high,kawono-high,0,high
kawon-high,kawon-high,kawon-high,0,high
kawe-high,kawe-high,kawe-high,0,high
kayami-louse,kayami-louse,kayami-louse,0,louse
kaya-barbasco,kaya-barbasco,kaya-barbasco,0,barbasco
kaya-gourd,kaya-gourd,kaya-gourd,0,gourd
kejkepe-salamander,kejkepe-salamander,kejkepe-salamander,0,salamander
kinta-become-tired,kinta-become-tired,kinta-become-tired,0,become-tired
kocha-tail,kocha-tail,kocha-tail,0,tail
kojpa-night,kojpa-night,kojpa-night,0,night
konopo-rain,konopo-rain,konopo-rain,0,rain
ko-brassolis-sophorae,ko-brassolis-sophorae,ko-brassolis-sophorae,0,brassolis-sophorae
kori-brassolis-sophorae,kori-brassolis-sophorae,kori-brassolis-sophorae,0,brassolis-sophorae
korokoro-c,korokoro-c,korokoro-c,0,c
kuku-answer,kuku-answer,kuku-answer,0,answer
kune-cook,kune-cook,kune-cook,0,cook
kuno-cook,kuno-cook,kuno-cook,0,cook
kuru-prochilodus-mariae,kuru-prochilodus-mariae,kuru-prochilodus-mariae,0,prochilodus-mariae
kuruwa-coroba-palm,kuruwa-coroba-palm,kuruwa-coroba-palm,0,coroba-palm
kuya-tree-sp,kuya-tree-sp,kuya-tree-sp,0,"tree,sp"
kuyuwi-bird-sp,kuyuwi-bird-sp,kuyuwi-bird-sp,0,"bird,sp"
kejma-hunt,kejma-hunt,kejma-hunt,0,hunt
kemu-pus,kemu-pus,kemu-pus,0,pus
keta-stink,keta-stink,keta-stink,0,stink
ketejwate-cotton,ketejwate-cotton,ketejwate-cotton,0,cotton
keya-think,keya-think,keya-think,0,think
kimiy-chili,kimiy-chili,kimiy-chili,0,chili
kimii-chili,kimii-chili,kimii-chili,0,chili
kiripi-go-out,kiripi-go-out,kiripi-go-out,0,go-out
majawa-m,majawa-m,majawa-m,0,m
majpe-m,majpe-m,majpe-m,0,m
maka-ceiba-pentandra,maka-ceiba-pentandra,maka-ceiba-pentandra,0,ceiba-pentandra
makarike-cayman,makarike-cayman,makarike-cayman,0,cayman
makuyupi-catfish-sp,makuyupi-catfish-sp,makuyupi-catfish-sp,0,"catfish,sp"
make-mom,make-mom,make-mom,0,mom
mapara-chicken,mapara-chicken,mapara-chicken,0,chicken
mare-still,mare-still,mare-still,0,still
mare-still-1,mare-still-1,mare-still-1,0,still
mati-breast,mati-breast,mati-breast,0,breast
mayawaka-m,mayawaka-m,mayawaka-m,0,m
mejya-cover,mejya-cover,mejya-cover,0,cover
miti-root,miti-root,miti-root,0,root
mone-vagina,mone-vagina,mone-vagina,0,vagina
moneka-girl-voc,moneka-girl-voc,moneka-girl-voc,0,"girl,voc"
monkontomo-2pl-pro,monkontomo-2pl-pro,monkontomo-2pl-pro,0,"2pl,pro"
mokontomo-2pl-pro,mokontomo-2pl-pro,mokontomo-2pl-pro,0,"2pl,pro"
mekontomo-2pl-pro,mekontomo-2pl-pro,mekontomo-2pl-pro,0,"2pl,pro"
montomo-2pl-pro,montomo-2pl-pro,montomo-2pl-pro,0,"2pl,pro"
mokontom-2pl-pro,mokontom-2pl-pro,mokontom-2pl-pro,0,"2pl,pro"
mokonton-2pl-pro,mokonton-2pl-pro,mokonton-2pl-pro,0,"2pl,pro"
moroko-fish,moroko-fish,moroko-fish,0,fish
morone-hurting,morone-hurting,morone-hurting,0,hurting
moroni-pain,moroni-pain,moroni-pain,0,pain
moron-pain,moron-pain,moron-pain,0,pain
morono-poison,morono-poison,morono-poison,0,poison
moto-worm,moto-worm,moto-worm,0,worm
moyochi-spider-sp,moyochi-spider-sp,moyochi-spider-sp,0,spider-sp
mujna-grave,mujna-grave,mujna-grave,0,grave
mujyane-pregnancy,mujyane-pregnancy,mujyane-pregnancy,0,pregnancy
mujyam-pregnancy,mujyam-pregnancy,mujyam-pregnancy,0,pregnancy
muku-child,muku-child,muku-child,0,child
mune-bulbous,mune-bulbous,mune-bulbous,0,bulbous
munta-budding,munta-budding,munta-budding,0,budding
mejki-dist-anim,mejki-dist-anim,mejki-dist-anim,0,"dist,anim"
mere-2pro,mere-2pro,mere-2pro,0,2pro
mijna-there-all,mijna-there-all,mijna-there-all,0,"there,all"
minte-there-loc,minte-there-loc,minte-there-loc,0,"there,loc"
mira-priodontes-maximus,mira-priodontes-maximus,mira-priodontes-maximus,0,priodontes-maximus
nai-do,nai-do,nai-do,0,do
najmo-grandmother,najmo-grandmother,najmo-grandmother,0,grandmother
najpi-grandfather,najpi-grandfather,najpi-grandfather,0,grandfather
najwata-harbor,najwata-harbor,najwata-harbor,0,harbor
naki-thirst,naki-thirst,naki-thirst,0,thirst
nata-door,nata-door,nata-door,0,door
nepi-bring,nepi-bring,nepi-bring,0,bring
nej-bring,nej-bring,nej-bring,0,bring
nono-earth,nono-earth,nono-earth,0,earth
nope-good,nope-good,nope-good,0,good
nop-good,nop-good,nop-good,0,good
