ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
achi-wilderness,yab,achi,achi-wilderness,wilderness,achi,a t͡ʃ i,,,
aijkorono-recovered,yab,aijkorono,aijkorono-recovered,recovered,aijkorono,a i h k o r o n o,,,
ajpachi-undergrowth,yab,ajpachi,ajpachi-undergrowth,undergrowth,ajpachi,a h p a t͡ʃ i,,,
aki-worm,yab,akï,aki-worm,worm; maggot,akï,a k ɨ,,,
amu-ripeness,yab,amu,amu-ripeness,ripeness,amu,a m u,,,
ami-unidentified-plant,yab,amï,ami-unidentified-plant,unidentified_plant,amï,a m ɨ,,,
ana-1-3pro,yab,ana,ana-1-3pro,1+3PRO,ana,a n a,,,
anoto-annatto,yab,anoto,anoto-annatto,annatto,anoto,a n o t o,,,
anta-island,yab,anta,anta-island,island,anta,a n t a,,,
ante-fish-hook,yab,antë,ante-fish-hook,fish_hook,antë,a n t ə,,,
api-ripeness,yab,api,api-ripeness,ripeness,api,a p i,,,
apo-later,yab,apo,apo-later,later; meanwhile,apo,a p o,,,
apuni-soap,yab,apuni,apuni-soap,soap,apuni,a p u n i,,,
arajmate-dangerous,yab,arajmatë,arajmate-dangerous,dangerous,arajmatë,a r a h m a t ə,,,
arina-trembler,yab,arina,arina-trembler,trembler,arina,a r i n a,,,
aro-rice,yab,aro,aro-rice,rice,aro,a r o,,,
aroma-limpet,yab,aroma,aroma-limpet,limpet,aroma,a r o m a,,,
aropoko-ball-game,yab,aropoko,aropoko-ball-game,ball_game,aropoko,a r o p o k o,,,
asakontompene-four,yab,asakontompene,asakontompene-four,four,asakontompene,a s a k o n t o m p e n e,,,
asake-two,yab,asakë,asake-two,two,asakë,a s a k ə,,,
asere-dry-cough,yab,asere,asere-dry-cough,dry_cough,asere,a s e r e,,,
asuka-sugar,yab,asuka,asuka-sugar,sugar,asuka,a s u k a,,,
ati-plot-of-cultivated-land,yab,ati,ati-plot-of-cultivated-land,plot_of_cultivated_land,ati,a t i,,,
ati-plot-of-cultivated-land-1,yab,atï,ati-plot-of-cultivated-land,plot_of_cultivated_land,atï,a t ɨ,,,
awochi-tumor,yab,awochi,awochi-tumor,tumor,awochi,a w o t͡ʃ i,,,
chijchipu-body-movement,yab,chijchipu,chijchipu-body-movement,body_movement,chijchipu,t͡ʃ i h t͡ʃ i p u,,,
chika-bite,yab,chika,chika-bite,bite,chika,t͡ʃ i k a,,,
chike-chigger,yab,chikë,chike-chigger,chigger,chikë,t͡ʃ i k ə,,,
chima-path,yab,chima,chima-path,path,chima,t͡ʃ i m a,,,
chimichimi-worm-dog,yab,chimichimi,chimichimi-worm-dog,worm(dog),chimichimi,t͡ʃ i m i t͡ʃ i m i,,,
chipiyu-fungus-sp,yab,chipiyu,chipiyu-fungus-sp,fungus.sp,chipiyu,t͡ʃ i p i j u,,,
chiramu-mange,yab,chiramu,chiramu-mange,mange,chiramu,t͡ʃ i r a m u,,,
chirike-star,yab,chirikë,chirike-star,star,chirikë,t͡ʃ i r i k ə,,,
chiri-titi-monkey,yab,chiri,chiri-titi-monkey,titi_monkey,chiri,t͡ʃ i r i,,,
chiri-wild-pineapple,yab,chiri,chiri-wild-pineapple,wild_pineapple,chiri,t͡ʃ i r i,,,
chiyakono-friend,yab,chiyakono,chiyakono-friend,friend,chiyakono,t͡ʃ i j a k o n o,,,
chiyakon-friend,yab,chiyakon,chiyakono-friend,friend,chiyakon,t͡ʃ i j a k o n,,,
chiyakom-friend,yab,chiyakom,chiyakono-friend,friend,chiyakom,t͡ʃ i j a k o m,,,
chekey-nit,yab,chëkëy,chekey-nit,nit,chëkëy,t͡ʃ ə k ə j,,,
ejne-1-2pro,yab,ejnë,ejne-1-2pro,1+2PRO,ejnë,e h n ə,,,
enijpete-one,yab,enijpëtë,enijpete-one,one,enijpëtë,e n i h p ə t ə,,,
enire-now,yab,enirë,enire-now,now; today,enirë,e n i r ə,,,
eniro-now,yab,eniro,enire-now,now; today,eniro,e n i r o,,,
entono-from-here,yab,entono,entono-from-here,from_here,entono,e n t o n o,,,
ente-here-loc,yab,entë,ente-here-loc,here.LOC,entë,e n t ə,,,
epe-escape,yab,epe,epe-escape,escape; hide_and_seek,epe,e p e,,,
eretapi-cultivated-plant,yab,eretapi,eretapi-cultivated-plant,cultivated_plant,eretapi,e r e t a p i,,,
ewine-here-all,yab,ewinë,ewine-here-all,here.ALL,ewinë,e w i n ə,,,
ijmoy-egg,yab,ijmoy,ijmoy-egg,egg,ijmoy,i h m o j,,,
ijpu-summit,yab,ijpu,ijpu-summit,summit,ijpu,i h p u,,,
inawe-have,yab,inawë,inawe-have,have,inawë,i n a w ə,,,
ini-see,yab,ini,ini-see,see,ini,i n i,,,
in-see,yab,in,ini-see,see,in,i n,,,
ene-see,yab,ene,ini-see,see,ene,e n e,,,
intipijke-small,yab,intipijkë,intipijke-small,small,intipijkë,i n t i p i h k ə,? + [](MorphsetTable#cldf:pijkedim),,
iriyawe-then,yab,iriyawë,iriyawe-then,then,iriyawë,i r i j a w ə,,,
irejpe-then,yab,irëjpë,irejpe-then,then,irëjpë,i r ə h p ə,,,
ita-hear,yab,ita,ita-hear,hear,ita,i t a,,,
