ID,Wordform_ID,Morph_ID,Index,Gloss_ID
asakontompene-four-0,asakontompene-four,asakontompene-four,0,four
asereke-dry-cough-prop-0,asereke-dry-cough-prop,asere-dry-cough,0,dry-cough
asereke-dry-cough-prop-1,asereke-dry-cough-prop,keprop,1,prop
atiri-plot-of-cultivated-land-pert-0,atiri-plot-of-cultivated-land-pert,ati-plot-of-cultivated-land,0,plot-of-cultivated-land
atiri-plot-of-cultivated-land-pert-1,atiri-plot-of-cultivated-land-pert,ripert,1,pert
atirijpe-plot-of-cultivated-land-pert-pst-0,atirijpe-plot-of-cultivated-land-pert-pst,ati-plot-of-cultivated-land,0,plot-of-cultivated-land
atirijpe-plot-of-cultivated-land-pert-pst-1,atirijpe-plot-of-cultivated-land-pert-pst,ripert,1,pert
atirijpe-plot-of-cultivated-land-pert-pst-2,atirijpe-plot-of-cultivated-land-pert-pst,jpepst1,2,pst
ayawori-2-lk-uncle-pert-0,ayawori-2-lk-uncle-pert,a2,0,2
ayawori-2-lk-uncle-pert-1,ayawori-2-lk-uncle-pert,ylk,1,lk
ayawori-2-lk-uncle-pert-2,ayawori-2-lk-uncle-pert,awo-uncle,2,uncle
ayawori-2-lk-uncle-pert-3,ayawori-2-lk-uncle-pert,ripert,3,pert
chijchipuru-body-movement-pert-0,chijchipuru-body-movement-pert,chijchipu-body-movement,0,body-movement
chijchipuru-body-movement-pert-1,chijchipuru-body-movement-pert,rupert,1,pert
enirono-now-nmlz-0,enirono-now-nmlz,eniro-now,0,now
enirono-now-nmlz-1,enirono-now-nmlz,nonmlz,1,nmlz
ijmokani-cook-agtnmlz-0,ijmokani-cook-agtnmlz,ijmoka-cook,0,cook
ijmokani-cook-agtnmlz-1,ijmokani-cook-agtnmlz,ninmlz,1,agtnmlz
ijtari-3-foot-pert-0,ijtari-3-foot-pert,i31,0,3
ijtari-3-foot-pert-1,ijtari-3-foot-pert,jta-foot,1,foot
ijtari-3-foot-pert-2,ijtari-3-foot-pert,ripert,2,pert
kamparake-big-prop-0,kamparake-big-prop,kampara-big,0,big
kamparake-big-prop-1,kamparake-big-prop,keprop,1,prop
karasake-white-0,karasake-white,karasake-white,0,white
kereke-old-prop-0,kereke-old-prop,kere-old,0,old
kereke-old-prop-1,kereke-old-prop,keprop,1,prop
kerekemi-old-prop-nmlz-0,kerekemi-old-prop-nmlz,kere-old,0,old
kerekemi-old-prop-nmlz-1,kerekemi-old-prop-nmlz,keprop,1,prop
kerekemi-old-prop-nmlz-2,kerekemi-old-prop-nmlz,minmlz,2,nmlz
keya-think-acnnmlz-0,keya-think-acnnmlz,keya-think,0,think
keya-think-acnnmlz-1,keya-think-acnnmlz,rinmlz-zero,1,acnnmlz
pe-ess-0,pe-ess,pe-ess,0,ess
nonokemi-earth-prop-nmlz-0,nonokemi-earth-prop-nmlz,nono-earth,0,earth
nonokemi-earth-prop-nmlz-1,nonokemi-earth-prop-nmlz,keprop,1,prop
nonokemi-earth-prop-nmlz-2,nonokemi-earth-prop-nmlz,minmlz,2,nmlz
nopano-good-nmlz-0,nopano-good-nmlz,nop-good,0,good
nopano-good-nmlz-1,nopano-good-nmlz,anonmlz,1,nmlz
ntate-mouth-npert-0,ntate-mouth-npert,nta-mouth,0,mouth
ntate-mouth-npert-1,ntate-mouth-npert,tenpert,1,npert
pejmani-bewitch-agtnmlz-1,pejmani-bewitch-agtnmlz,ninmlz,1,agtnmlz
pekepene-alone-0,pekepene-alone,pekepene-alone,0,alone
romoye-downriver-0,romoye-downriver,romoye-downriver,0,downriver
saparari-heavy-pot-pert-0,saparari-heavy-pot-pert,sapara-heavy-pot,0,heavy-pot
saparari-heavy-pot-pert-1,saparari-heavy-pot-pert,ripert,1,pert
tajme-ugly-0,tajme-ugly,tajme-ugly,0,ugly
takunuru-laziness-pert-0,takunuru-laziness-pert,takunu-laziness,0,laziness
takunuru-laziness-pert-1,takunuru-laziness-pert,rupert,1,pert
tawori-3-uncle-pert-0,tawori-3-uncle-pert,it3,0,3
tawori-3-uncle-pert-1,tawori-3-uncle-pert,awo-uncle,1,uncle
tawori-3-uncle-pert-2,tawori-3-uncle-pert,ripert,2,pert
teijpono-far-nmlz-0,teijpono-far-nmlz,teijpo-far-1,0,far
teijpono-far-nmlz-1,teijpono-far-nmlz,nonmlz,1,nmlz
tejporemi-tasty-nmlz-1,tejporemi-tasty-nmlz,minmlz,1,nmlz
tejweti-3-hammock-pert-0,tejweti-3-hammock-pert,it3,0,3
tejweti-3-hammock-pert-1,tejweti-3-hammock-pert,ejwe-hammock,1,hammock
tejweti-3-hammock-pert-2,tejweti-3-hammock-pert,tipert,2,pert
tepese-3-escape-pst-0,tepese-3-escape-pst,it3,0,3
tepese-3-escape-pst-1,tepese-3-escape-pst,epe-escape,1,escape
tepese-3-escape-pst-2,tepese-3-escape-pst,sepst,2,pst
terepunu-3-sick-pert-0,terepunu-3-sick-pert,it3,0,3
terepunu-3-sick-pert-1,terepunu-3-sick-pert,erepunu-sick,1,sick
terepunu-3-sick-pert-2,terepunu-3-sick-pert,rupert-zero,2,pert
tesekemi-prop-name-prop-nmlz-0,tesekemi-prop-name-prop-nmlz,tprop,0,prop
tesekemi-prop-name-prop-nmlz-1,tesekemi-prop-name-prop-nmlz,ese-name,1,name
tesekemi-prop-name-prop-nmlz-2,tesekemi-prop-name-prop-nmlz,keprop,2,prop
tesekemi-prop-name-prop-nmlz-3,tesekemi-prop-name-prop-nmlz,minmlz,3,nmlz
toti-3-meat-pert-0,toti-3-meat-pert,it3,0,3
toti-3-meat-pert-1,toti-3-meat-pert,oti-meat,1,meat
toti-3-meat-pert-2,toti-3-meat-pert,rupert-zero,2,pert
weseyu-be-brave-acnnmlz-0,weseyu-be-brave-acnnmlz,weseyu-be-brave,0,be-brave
weseyu-be-brave-acnnmlz-1,weseyu-be-brave-acnnmlz,rinmlz-zero,1,acnnmlz
weseyuru-be-brave-ipfv-0,weseyuru-be-brave-ipfv,weseyu-be-brave,0,be-brave
weseyuru-be-brave-ipfv-1,weseyuru-be-brave-ipfv,ri-ru,1,ipfv
ejte-house-npert-0,ejte-house-npert,ej-house,0,house
ejte-house-npert-1,ejte-house-npert,tenpert,1,npert
toto-non-indian-0,toto-non-indian,toto-non-indian,0,non-indian
re-emp-0,re-emp,re-emp,0,emp
mokontomo-2pl-pro-0,mokontomo-2pl-pro,mokontomo-2pl-pro,0,"2pl,pro"
ya-erg-0,ya-erg,ya-erg,0,erg
yenijpe-drink-pst-0,yenijpe-drink-pst,yeni-drink-1,0,drink
yenijpe-drink-pst-1,yenijpe-drink-pst,jpepst1,1,pst
ta-say-ipfv-0,ta-say-ipfv,ta-say,0,say
ta-say-ipfv-1,ta-say-ipfv,ri-zero,1,ipfv
ta-like-0,ta-like,ta-like,0,like
ta-say-acnnmlz-0,ta-say-acnnmlz,ta-say,0,say
ta-say-acnnmlz-1,ta-say-acnnmlz,rinmlz-zero,1,acnnmlz
tototon-non-indian-pl-0,tototon-non-indian-pl,toto-non-indian,0,non-indian
tototon-non-indian-pl-1,tototon-non-indian-pl,tonpl,1,pl
yoti-lk-meat-pert-0,yoti-lk-meat-pert,ylk,0,lk
yoti-lk-meat-pert-1,yoti-lk-meat-pert,oti-meat,1,meat
yoti-lk-meat-pert-2,yoti-lk-meat-pert,rupert-zero,2,pert
ti-hsy-0,ti-hsy,ti-hsy,0,hsy
aaa-ah-0,aaa-ah,aaa-ah,0,ah
tewi-3pro-0,tewi-3pro,tewi-3pro,0,3pro
warai-like-0,warai-like,warai-like,0,like
e-e-yes-0,e-e-yes,e-e-yes,0,yes
waraij-like-0,waraij-like,waraij-like,0,like
tase-say-pst-0,tase-say-pst,ta-say,0,say
tase-say-pst-1,tase-say-pst,sepst,1,pst
asuka-sugar-0,asuka-sugar,asuka-sugar,0,sugar
chi-cop-acnnmlz-0,chi-cop-acnnmlz,chi-cop,0,cop
chi-cop-acnnmlz-1,chi-cop-acnnmlz,rinmlz-zero,1,acnnmlz
yawe-loc-0,yawe-loc,yawe-loc,0,loc
neke-cntr-0,neke-cntr,neke-cntr,0,cntr
ne-ints-0,ne-ints,ne-ints,0,ints
yewenke-lk-ignorant-0,yewenke-lk-ignorant,ylk,0,lk
yewenke-lk-ignorant-1,yewenke-lk-ignorant,ewenke-ignorant,1,ignorant
awata-surp-0,awata-surp,awata-surp,0,surp
taki-cnfrm-0,taki-cnfrm,taki-cnfrm,0,cnfrm
pirare-neg-exist-0,pirare-neg-exist,pirare-neg-exist,0,"neg,exist"
nwa-thus-0,nwa-thus,nwa-thus,0,thus
ma-rst-0,ma-rst,ma-rst,0,rst
yakere-lk-with-0,yakere-lk-with,ylk,0,lk
yakere-lk-with-1,yakere-lk-with,akere-with,1,with
ejne-1-2pro-0,ejne-1-2pro,ejne-1-2pro,0,1-2pro
wejsape-cop-pfv-0,wejsape-cop-pfv,wej-cop,0,cop
wejsape-cop-pfv-1,wejsape-cop-pfv,sapepfv,1,pfv
sa-eval-0,sa-eval,sa-eval,0,eval
irejpe-then-0,irejpe-then,irejpe-then,0,then
ke-ins-0,ke-ins,ke-ins,0,ins
tawara-too-0,tawara-too,tawara-too,0,too
kajwe-coffee-0,kajwe-coffee,kajwe-coffee,0,coffee
yenija-drink-neg-0,yenija-drink-neg,yeni-drink-1,0,drink
yenija-drink-neg-1,yenija-drink-neg,janeg,1,neg
yenija-drink-neg-1-0,yenija-drink-neg-1,yeni-drink,0,drink
yenija-drink-neg-1-1,yenija-drink-neg-1,janeg,1,neg
esene-see-self-ipfv-1,esene-see-self-ipfv,ri-zero,1,ipfv
seneja-see-self-neg-1,seneja-see-self-neg,janeg,1,neg
wa-thus-0,wa-thus,wa-thus,0,thus
sukase-all-0,sukase-all,sukase-all,0,all-1
arina-trembler-0,arina-trembler,arina-trembler,0,trembler
eni-prox-inan-0,eni-prox-inan,eni-prox-inan,0,"prox,inan"
aro-rice-0,aro-rice,aro-rice,0,rice
yenesemi-eat-meat-ptcp-nmlz-0,yenesemi-eat-meat-ptcp-nmlz,yene-eat-meat,0,eat-meat
yenesemi-eat-meat-ptcp-nmlz-1,yenesemi-eat-meat-ptcp-nmlz,septcp,1,ptcp
yenesemi-eat-meat-ptcp-nmlz-2,yenesemi-eat-meat-ptcp-nmlz,minmlz,2,nmlz
tajtane-say-cncs-0,tajtane-say-cncs,taj-say,0,say
tajtane-say-cncs-1,tajtane-say-cncs,tanecncs,1,cncs
sere-bitter-manioc-0,sere-bitter-manioc,sere-bitter-manioc,0,bitter-manioc
okiri-chicha-pert-0,okiri-chicha-pert,oki-chicha,0,chicha
okiri-chicha-pert-1,okiri-chicha-pert,rypert,1,pert
sukutaka-yucuta-0,sukutaka-yucuta,sukutaka-yucuta,0,yucuta
intipijke-small-0,intipijke-small,intipijke-small,0,small
taji-foc-0,taji-foc,taji-foc,0,foc
tainija-3p-see-neg-0,tainija-3p-see-neg,ta-3,0,3p
