Primary_Text,Original_Translation,Text_ID,Record_Number,Speaker_ID,Comments,ID,Translated_Text,Comment,Tokenized,Analyzed_Word,Gloss,Lexeme_IDs,Gramm,Morpheme_IDs,Part_Of_Speech,Wordform_ID
wïrë tawara rë entë,yo estaba aquí (en San Juan Manapiare),histanfo,1,AnFo,,histanfo-1,I was here (in San Juan Manapiare).,,wïrë	tawara	rë	entë,wïrë	tawara	rë	entë,1PRO	too	EMP	here.LOC,wire-1pro	tawara-too	re-emp	ente-here-loc,"pn,1	adv	part	adv",wire-1pro	tawara-too	re-emp	ente-here-loc,pn	adv	part	adv,wire-1pro	tawara-too	re-emp	ente-here-loc
"ana këyetajpë, intipijkë ana chi yawë",nos criamos cuando estábamos chiquiticos nosotros,histanfo,2,AnFo,,histanfo-2,We grew up when we were little kids,,ana	këyetajpë	intipijkë	ana	chi	yawë,ana	këyeta-jpë	intipijkë	ana	chi-∅	yawë,1+3PRO	grow-PST	small	1+3PRO	COP-ACNNMLZ	LOC,ana-1-3pro	keyata-grow	intipijke-small	ana-1-3pro	chi&rinmlz	yawe-loc,"pn,13	vi,pst	adv	pn,13	n,nmlz	postp","ana-1-3pro	jpepst,keyata-grow	intipijke-small	ana-1-3pro	rinmlz	yawe-loc",pn	vi	adv	pn	n	postp,ana-1-3pro	keyetajpe-grow-pst	intipijke-small	ana-1-3pro	chi-cop-acnnmlz	yawe-loc
ana yïmï sëmajpë pe,cuando se murió mi papá,histanfo,3,AnFo,,histanfo-3,when our father died.,,ana	yïmï	sëmajpë	pe,ana	y-ïmï	sëma-jpë	pe,1+3PRO	LK-father	die-PST.ACNNMLZ	ESS,ana-1-3pro	imi-father	sëma&jpenmlz	pe-ess,"pn,13	n,lk	n,nmlz	postp","ana-1-3pro	ylk,imi-father	jpenmlz	pe-ess",pn	n	n	postp,ana-1-3pro	yimi-lk-father	semajpe-die-pst-acnnmlz	pe-ess
"ana këyetase papa kampra ya, ana yoti wejsapë yojtë ta sukase aroma warai, yakuri warai yojtë wejsaj ta","nosotros crecimos, mi tio pescaba toda nuestra comida, lapa, picure",histanfo,4,AnFo,,histanfo-4,"(When) we grew up, my uncle fished our food; fished everything: limpet, picure...","aroma and yakuri with warai, what's the object?",ana	këyetase	papa	kampra	ya	ana	yoti	wejsapë	yojtë	ta	sukase	aroma	warai	yakuri	warai	yojtë	wejsaj	ta,ana	këyeta-se	papa	kampra	ya	ana	y-oti-∅	wej-sapë	yojtë-∅	ta	sukase	aroma	warai	yakuri	warai	yojtë-∅	wej-saj	ta,1+3PRO	grow-PST	father	big	ERG	1+3PRO	LK-meat-PERT	COP-PFV	fish_with_hook-IPFV	like	all	limpet	like	agouti	like	fish_with_hook-IPFV	COP-PFV	like,ana-1-3pro	keyata-grow	papa-father	kampara-big	ya-erg	ana-1-3pro	oti-meat	chi-cop	yojte-fish-with-hook	ta-like	sukase-all	aroma-limpet	waraij-like	yakuri-agouti	waraij-like	yojte-fish-with-hook	chi-cop	ta-like,"pn,13	vi,pst	n	n	postp	pn,13	n,pert,lk	vi,cop,pfv	vt,ipfv	part	adv	n	postp	n	postp	vt,ipfv	vi,cop,pfv	part","ana-1-3pro	keyata-grow,sepst	papa-father	kampara-big	ya-erg	ana-1-3pro	oti-meat,rupert,ylk	chi-cop,sapepfv	riipfv,yojte-fish-with-hook	ta-like	sukase-all	aroma-limpet	waraij-like	yakuri-agouti	waraij-like	riipfv,yojte-fish-with-hook	chi-cop,sapepfv	ta-like",pn	vi	n	n	postp	pn	n	vi	vt	part	adv	n	postp	n	postp	vt	vi	part,ana-1-3pro	keyetase-grow-pst	papa-father	kampra-big	ya-erg	ana-1-3pro	yoti-lk-meat-pert	wejsape-cop-pfv	yojte-fish-with-hook-ipfv	ta-like	sukase-all	aroma-limpet	warai-like	yakuri-agouti	warai-like	yojte-fish-with-hook-ipfv	wejsaj-cop-pfv	ta-like
"papa kampra ya, makampra ya ta wejsaj ta, maijtë kaimotata, mukuton yomiri","mi tía estaba diciendo para mi tío ""vaya a cazar que los niños tienen hambre""",histanfo,5,AnFo,2017-10 CHECK the part of speech of yëmi-ri to analyze it syntactically as NVP or verbal,histanfo-5,"My aunt said to my uncle: “go hunt, the children are hungry”.","non-ERG ya is prosodically marked. How does ""maijtë kaimotata"" fit together?",papa	kampra	ya	makampra	ya	ta	wejsaj	ta	maijtë	kaimotata	mukuton	yomiri,papa	kampra	ya	makampra	ya	ta-∅	wej-saj	ta	maijtë	kaimota-ta	muku-ton	yomi-ri,father	big	OBL	aunt	ERG	say-IPFV	COP-PFV	like	go.IMP	hunt-MOTIMP	child-PL	be_hungry-IPFV,papa-father	kampara-big	ya-obl	makampra-aunt	ya-erg	taro-say	chi-cop	ta-like	te-go	kaimota-hunt	muku-child	yemi-be-hungry,"n	n	postp	n	postp	vt,ipfv	vi,cop,pfv	part	imp,vi	vi,motimp	n,pl	vi,ipfv","papa-father	kampara-big	ya-obl	makampra-aunt	ya-erg	riipfv,taro-say	chi-cop,sapepfv	ta-like	maijte-go-imp	kaimota-hunt,tamotimp	muku-child,tomopl	riipfv,yemi-be-hungry",n	n	postp	n	postp	vt	vi	part	vi	vi	n	vi,papa-father	kampra-big	ya-obl	makampra-aunt	ya-erg	ta-say-ipfv	wejsaj-cop-pfv	ta-like	maijte-go-imp	kaimotata-hunt-motimp	mukuton-child-pl	yomiri-be-hungry-ipfv
"asamori ta wejsaj ta, irë makë ta wejsapë","mi  tía dijo ""están llorando""",histanfo,6,AnFo,,histanfo-6,"My aunt said ""they are crying"".",,asamori	ta	wejsaj	ta	irë	makë	ta	wejsapë,asamo-ri	ta-∅	wej-saj	ta	irë	makë	ta-∅	wej-sapë,cry-IPFV	say-IPFV	COP-PFV	like	3ANA.INAN	mom	say-IPFV	COP-PFV,samo-cry	taro-say	chi-cop	ta-like	ire-3ana-inan	make-mom	taro-say	chi-cop,"vi,ipfv	vt,ipfv	vi,cop,pfv	part	dem	n	vt,ipfv	vi,cop,pfv","riipfv,samo-cry	riipfv,taro-say	chi-cop,sapepfv	ta-like	ire-3ana-inan	make-mom	riipfv,taro-say	chi-cop,sapepfv",vi	vt	vi	part	dem	n	vt	vi,asamori-cry-ipfv	ta-say-ipfv	wejsaj-cop-pfv	ta-like	ire-3ana-inan	make-mom	ta-say-ipfv	wejsape-cop-pfv
"pachi, kërë takï yëmi pïnirë","dijo ""hermana, ese no tiene hambre""",histanfo,7,AnFo,2017-10 CHECK the part of speech of yëmi-ri to analyze it syntactically as NVP or verbal,histanfo-7,"""sister, that one is not hungry"".",NVP with nominalized verb. Unclear who kërë refers to.,pachi	kërë	takï	yëmi	pïnirë,pachi	kërë	takï	yëmi-∅	pïnirë,older_sister_of_woman	PROX.ANIM	CNFRM	be_hungry-ACNNMLZ	NEG,pachi-older-sister-of-woman	kere-prox-anim	taki-cnfrm	yëmï&rinmlz	pinire-neg,"n	dem	part	n,nmlz	part",pachi-older-sister-of-woman	kere-prox-anim	taki-cnfrm	rinmlz	pinire-neg,n	dem	part	n	part,pachi-older-sister-of-woman	kere-prox-anim	taki-cnfrm	yemi-be-hungry-acnnmlz	pinire-neg
asamorijra asamori muku,por llorar no más lloran los niños,histanfo,8,AnFo,,histanfo-8,?,"rijra-ri construction, prosodically integrated",asamorijra	asamori	muku,asamo-ri=jra	asamo-ri	muku,cry-IPFV=NEG	cry-IPFV	child,samo-cry=jra-neg	samo-cry	muku-child,"vi,ipfv=part,neg	vi,ipfv	n","riipfv,samo-cry=jra-neg	riipfv,samo-cry	muku-child",vi=part	vi	n,asamori-cry-ipfv=jra-neg	asamori-cry-ipfv	muku-child
"tejetum pïnika, ta wejsaj ta makë ya, makë pano ya","mi mamá decía ""no ese está enfermo será",histanfo,9,AnFo,,histanfo-9,"""That one is probably sick"", said my mother, my late mother.",What is the extent of quoted speech here? Unclear who is sick.,tejetum	pïnika	ta	wejsaj	ta	makë	ya	makë	pano	ya,tejetum	pïnika	ta-∅	wej-saj	ta-∅	makë	ya	makë	pano	ya,sick	PROB	say-IPFV	COP-PFV	say-IPFV	mom	ERG	mom	FMR	ERG,tejwetunu-sick	pinika-prob	taro-say	chi-cop	taro-say	make-mom	ya-erg	make-mom	pano-fmr	ya-erg,"n	part	vt,ipfv	vi,cop,pfv	vt,ipfv	n	postp	n	part	postp","tejwetunu-sick	pinika-prob	riipfv,taro-say	chi-cop,sapepfv	riipfv,taro-say	make-mom	ya-erg	make-mom	pano-fmr	ya-erg",n	part	vt	vi	vt	n	postp	n	part	postp,tejetum-sick	pinika-prob	ta-say-ipfv	wejsaj-cop-pfv	ta-say-ipfv	make-mom	ya-erg	make-mom	pano-fmr	ya-erg
"sukase ta wejsaj ta, irëjpë papa kampra ijtëri","todo decía, después se iba mi tío",histanfo,10,AnFo,,histanfo-10,"She said that, then my uncle left",tï before first ta?,sukase	ta	wejsaj	ta	irëjpë	papa	kampra	ijtëri,sukase	ta-∅	wej-saj	ta	irëjpë	papa	kampra	ij-të-ri,all	say-IPFV	COP-PFV	like	then	father	big	3-go-IPFV,sukase-all	taro-say	chi-cop	ta-like	irejpe-then	papa-father	kampara-big	te-go,"adv	vt,ipfv	vi,cop,pfv	part	adv	n	n	vi,3,ipfv","sukase-all	riipfv,taro-say	chi-cop,sapepfv	ta-like	irejpe-then	papa-father	kampara-big	i3,riipfv,te-go",adv	vt	vi	part	adv	n	n	vi,sukase-all	ta-say-ipfv	wejsaj-cop-pfv	ta-like	irejpe-then	papa-father	kampra-big	ijteri-3-go-ipfv
