ID,Form,Translation,Translation_es,POS,Gramm,Comment,Paradigm,Source,PERT,NPERT,2_Prefix
,enijpëtërë,one,uno,adv,,,,,,,
,ïmparëjra,long time,mucho tiempo,adv,,variant; inconsistent glossing,,,,,
,ponoko,every,cada,adv,,,,,,,
,chi; ch; chij,COP,COP,vi,cop,*eti,cop,,,,
,perez,Pérez,Pérez,n,,,uninfl,,,,
,pïjkë,DIM,DIM,ideo,,???,,,,,
,rafa,Rafel,Rafel,n,,,uninfl,,,,
,sakunkai,sakunkai,sakunkai,ideo,,,,,,,
,taji,?,?,?,,,uninfl,,,,
,ajaja,hahaha,ajaja,intj,,,,,,,
,kï,oh,uy,intj,,,,,,,
,ajpu,heart,cogollo,n,,,,,,,
kaimo,kaimo,game,,n,,,,,,,
,kampara; kampra,big,grande,n,,variant,,,,,
,makë,mother,madre,n,,Is this really a vocative?,,,,,
nwadance,nwa,dance,,n,,,,,,,
,oti,game.food,presa,n,,variant,,,,,
,padrastro,padrastro,padrastro,n,,spanish,,,,,
,suku; suj,urine,orina,n,,,,,,,
,waraijtokon,man,hombre,n,,,,,,,
,ëjka; ënka,right,cierto,part,,,,,,,
,pïnirë,nothing,nada,part,,,,,,,
,ta,like,pues,part,,,,,,,
,anïkï; aniki,who,quién,pn,,,,,,,
intsne,ne; n,INTS,INTS,postp,ints,,,,,,
panadat,pana,DAT,DAT,postp,,,,,,,
pano,pano; pan,deceased,muerto,postp,deceased,,,,,,
esspe,pe,ESS,ESS,postp,,,,,,,
pekeon,pëkë; poko,about,sobre,postp,loc,,,,,,
,pëkëpene,alone,solo,postp,,,,,,,
reemp,rë,EMP,EMP,part,emp,,,,,,
yaerg,ya,ERG,ERG,postp,erg,,,,,,
yaobl,ya,OBL,OBL,postp,obl,,,,,,
yaweloc,yawë; awë,LOC,LOC,postp,loc,,,,,,
yaweloc,yawë; awë,COND,COND,postp,cond,,,,,,
yaweloc,yawë; awë,CTMP,CTMP,postp,ctmp,,,,,,
yakaall,yaka,ALL,ALL,postp,all,,,,,,
,mare,REL.INAN,REL.INAN,rel,,variant,,,,,
asamo,asamo,cry,llorar,vi,,no transitive counterpart?,,,,,
,esene; sene,see.self,verse,vi,,derivational structure?,,,,,
,këyata; këyeta; këyëta,grow.up,crecer,vi,,derivational structure?,,,,,
,sepamï; sepan,marry,casarse,vi,,derivational structure?,,,,,
,sereka,tire,cansarse,vi,,variant,,,,,
,enejka,watch,,vt,,,,,,,
,ijmoka; ijmojka,cook,cocinar,vt,,variant,,,,,
,këyama,create,crair,vt,,no noun?,,,,,
,maijtë,go.IMP,váya,vt,imp,irregular form,uninfl,,,,
,nai; naij,do,hacer,vt,,,,,,,
,wejyaka,open,abrir,vt,,,,,,,
yerema,yerema; erema,feed,,vt,,,,,,,
marestr,ma,RST,RST,part,,,,,,,
teloc,të,LOC,LOC,postp,,,,,,,
erepi-scare,erepï; erej; ere,scare,asustar,vt,,,,,,,
tojpa-hit,tojpa,hit,pegar,vt,,"derived via -pa, but from what?",,,,,
pojte-want,pojtë,want,querer,vt,,"derived via -jtë, but from what?",,,,,
weseyu,weseyu,become mad,enojarse,vi,,derivational structure?,,,,,
,me,POL,CORT,part,,,,,,,
enka-finish,yënka; ënka,finish,acabar,vt,,,,,,,
nwajte-dance,nwajtë,dance,bailar,vi,vt,*jtë* was added at some point.,,,,,
,ti,HSY,HSY,part,,,,,,,
,wej,COP,COP,vi,aux,,,,,,
,irë,DEM,DEM,pn,,A temporal demonstrative?,,,,,
,marë; mare,still,todavia,part,,,,,,,
,të,go,ir,vi,,Irregular third person form -- a reflex of *_it-_? Other languages have similar things.,v_go,,,,
,ati; ajti,what,que,qpro,,,,,,,
,warai,like,como,adv,,From dictionary.,,,,,
,tawara; tawaraij; tawura; tawa,too; same,también; igual,adv,,*tawa* only with [](MorphsetTable#cldf:janeg).,,,,,
,ïwïtï; ïwïj,house,casa,n,,,,,0,,
,waimu,language,habla,n,,See also [](MorphsetTable#cldf:waimu-talk),,,,,
,i,do,hacer,vt,,,,,,,
,waimu,talk,hablar,vi,,See also [](MorphsetTable#cldf:waimu-language),,,,,
,yajtë,begin,comenzar,vt,,,,,,,
,makampra,older sister of mother,hermana mayor de la madre,n,,,,,,,
,takï,CONF,CONF,part,,,,,,,
